Bowling Green State University,https://bgsufalcons.com/sports/mens-soccer/roster
Bradley University,https://bradleybraves.com/sports/mens-soccer/roster
Brown University,https://brownbears.com/sports/mens-soccer/roster
Bucknell University,https://bucknellbison.com/sports/mens-soccer/roster
Central Connecticut State University,https://ccsubluedevils.com/sports/msoc/2024-25/roster
Clemson University,https://clemsontigers.com/sports/mens-soccer/roster/
College of the Holy Cross,https://goholycross.com/sports/mens-soccer/roster
Columbia University,https://gocolumbialions.com/sports/mens-soccer/roster
Creighton University,https://gocreighton.com/sports/mens-soccer/roster
Davidson College,https://davidsonwildcats.com/sports/mens-soccer/roster
DePaul University,https://depaulbluedemons.com/sports/mens-soccer/roster
Drexel University,https://drexeldragons.com/sports/mens-soccer/roster
Duke University,https://goduke.com/sports/mens-soccer/roster
Eastern Illinois University,https://eiupanthers.com/sports/mens-soccer/roster
Fordham University,https://fordhamsports.com/sports/mens-soccer/roster
George Mason University,https://gomason.com/sports/mens-soccer/roster
George Washington University,https://gwsports.com/sports/mens-soccer/roster
Georgia State University,https://georgiastatesports.com/sports/mens-soccer/roster
Gonzaga University,https://gozags.com/sports/mens-soccer/roster
Indiana University,https://iuhoosiers.com/sports/mens-soccer/roster
James Madison University,https://jmusports.com/sports/mens-soccer/roster
Lehigh University,https://lehighsports.com/sports/mens-soccer/roster
Liberty University,https://libertyflames.com/sports/mens-soccer/roster
Lindenwood University,https://lindenwoodlions.com/sports/mens-soccer/roster
Marquette University,https://gomarquette.com/sports/mens-soccer/roster
Marshall University,https://herdzone.com/sports/mens-soccer/roster
Michigan State University,https://msuspartans.com/sports/mens-soccer/roster
North Carolina State University,https://gopack.com/sports/mens-soccer/roster
Northwestern University,https://nusports.com/sports/mens-soccer/roster
Ohio State University,https://ohiostatebuckeyes.com/sports/mens-soccer/roster
Old Dominion University,https://odusports.com/sports/mens-soccer/roster
Oregon State University,https://osubeavers.com/sports/mens-soccer/roster
Penn State,https://gopsusports.com/sports/mens-soccer/roster
Princeton University,https://goprincetontigers.com/sports/mens-soccer/roster
Providence College,https://friars.com/sports/mens-soccer/roster
Purdue University – Fort Wayne,https://gomastodons.com/sports/mens-soccer/roster
Sacred Heart University,https://sacredheartpioneers.com/sports/mens-soccer/roster
Saint Louis University,https://slubillikens.com/sports/mens-soccer/roster
Saint Peter's University,https://saintpeterspeacocks.com/sports/mens-soccer/roster
San Diego State University,https://goaztecs.com/sports/mens-soccer/roster
San Jose State University,https://sjsuspartans.com/sports/mens-soccer/roster
Seton Hall University,https://shupirates.com/sports/mens-soccer/roster
Syracuse University,https://cuse.com/sports/mens-soccer/roster
Temple University,https://owlsports.com/sports/mens-soccer/roster
United States Military Academy,https://goarmywestpoint.com/sports/mens-soccer/roster
University of Akron,https://gozips.com/sports/mens-soccer/roster
University of Alabama – Birmingham,https://uabsports.com/sports/mens-soccer/roster
University of Arkansas – Cossatot,https://www.fieldlevel.com/whrffwny/soccermen/roster
University of California – Berkeley,https://calbears.com/sports/mens-soccer/roster
University of California – Davis,https://ucdavisaggies.com/sports/mens-soccer/roster
University of California – Los Angeles – UCLA,https://uclabruins.com/sports/mens-soccer/roster
University of Central Florida,https://ucfknights.com/sports/mens-soccer/roster
University of Delaware,https://bluehens.com/sports/mens-soccer/roster
University of Houston,https://uhcougars.com/sports/womens-soccer/roster
University of Maryland – Baltimore County,https://umbcretrievers.com/sports/mens-soccer/roster
University of Massachusetts – Amherst,https://umassathletics.com/sports/mens-soccer/roster
University of Memphis,https://gotigersgo.com/sports/mens-soccer/roster
University of Michigan,https://mgoblue.com/sports/mens-soccer/roster
University of New Hampshire,https://unhwildcats.com/sports/mens-soccer/roster
University of North Carolina Asheville,https://uncabulldogs.com/sports/mens-soccer/roster
University of North Carolina at Chapel Hill,https://goheels.com/sports/mens-soccer/roster
University of Notre Dame,https://fightingirish.com/sports/msoc/roster
University of Pittsburgh,https://pittsburghpanthers.com/sports/mens-soccer/roster
University of Rhode Island,https://gorhody.com/sports/mens-soccer/roster
University of South Carolina,https://www.uscsalkathletics.com/roster-mens-soccer
University of St. Thomas – Minnesota,https://stubobcats.com/sports/mens-soccer/roster
University of the Incarnate Word,https://uiwcardinals.com/sports/mens-soccer/roster
University of Tulsa,https://tulsahurricane.com/sports/mens-soccer/roster/
University of Virginia,https://virginiasports.com/sports/msoc/roster
University of Wisconsin – Green Bay,https://greenbayphoenix.com/sports/mens-soccer/roster
Virginia Tech,https://hokiesports.com/sports/mens-soccer/roster
Wake Forest University,https://godeacs.com/sports/mens-soccer/roster
Xavier University,https://goxavier.com/sports/mens-soccer/roster
Yale University,https://yalebulldogs.com/sports/mens-soccer/roster
